대화엄수좌원통양중대사균여전	대화엄수좌원통양중대사규녀전
시근덕시근덕하다	시근덕씨근더카다
스르륵스르륵하다	스르륵쓰르르카다
순양거미불가사리	수냥거미불가사리
수염치레각날도래	수염치레강날도래
수군덕수군덕하다	수군덕쑤군더카다
수검은줄점불나방	수거믄줄점불라방
고수귀뚜라미붙이	고수귀뚜라미부치
고무락고무락하다	고무락꼬무라카다
고려국유학제거사	고려궁뉴학쩨거사
고동다리호리잎벌	고동다리호리입뻘
고기작고기작하다	고기작꼬기자카다
경텃절몽구리아들	경터쩔몽구리아들
검정명주딱정벌레	검정명주딱쩡벌레
검은피꼬마잎벌레	거믄피꼬마입뻘레
검은손긴팔원숭이	거믄손긴파뤈숭이
검은반날개베짱이	거믄반날개베짱이
검은띠꼬마잎벌레	거믄띠꼬마입뻘레
검은댕기해오라기	거믄댕기해오라기
검은날개물잠자리	거믄날개물잠자리
건염이래계년요록	거녀미래계년뇨록
거치적거치적하다	거치적꺼치저카다
거들먹거들먹하다	거들먹꺼들머카다
거드럭거드럭하다	거드럭꺼드러카다
거꾸로여덟팔나비	거꾸로여덜팔라비
개도둑놈의갈고리	개도둥노믜갈고리
개국원종공신녹권	개구권종공신녹꿘
갈색무늬긴노린재	갈쌩무니긴노린재
간드작간드작하다	간드작깐드자카다
각시통점나도나물	각씨통점나도나물
각릉개수도감의궤	강능개수도가믜궤
가치작가치작하다	가치작까치자카다
가들막가들막하다	가들막까들마카다
가드락가드락하다	가드락까드라카다
가는잎보리장나무	가는닙뽀리장나무
외무릎꿇기풍치기	외무릅꿀키풍치기
왕붉은점모시나비	왕불근점모시나비
왕무늬푸른자나방	왕무니푸른자나방
왈카닥왈카닥하다	왈카다괄카다카다
왈카닥달카닥하다	왈카닥딸카다카다
왈그륵달그륵하다	왈그륵딸그르카다
왈가닥왈가닥하다	왈가다괄가다카다
왈가닥달가닥하다	왈가닥딸가다카다
왁자글왁자글하다	왁짜그롹짜글하다
왁시글왁시글하다	왁씨그롹씨글하다
왁시글덕시글하다	왁씨글덕씨글하다
왁다글왁다글하다	왁따그롹따글하다
왁다글닥다글하다	왁따글닥따글하다
와지끈와지끈하다	와지끄놔지끈하다
와지끈뚝딱거리다	와지끈뚝딱꺼리다
와자작와자작하다	와자자과자자카다
와사삭와사삭하다	와사사과사사카다
와드득와드득하다	와드드과드드카다
와닥닥와닥닥하다	와닥따과닥따카다
와다닥와다닥하다	와다다과다다카다
와그작와그작하다	와그자과그자카다
옴지락옴지락하다	옴지라곰지라카다
올적나아가기끝남	올쩡나아가기끈남
옥시글옥시글하다	옥씨그록씨글하다
오지직오지직하다	오지지고지지카다
오지끈오지끈하다	오지끄노지끈하다
오비작오비작하다	오비자고비자카다
오무작오무작하다	오무자고무자카다
오무락오무락하다	오무라고무라카다
오목배큰씨물벼룩	오목빼큰씨물벼룩
오리나무더부살이	오리나무더부사리
오르락내리락하다	오르랑내리라카다
오도독오도독하다	오도도고도도카다
오늬이마물맞이게	오니이마물마지게
옆눈비늘갯지렁이	염눈비늘개찌렁이
연고동자루맵시벌	연고동자루맵씨벌
엎치락잦히락하다	업치락짜치라카다
엎치락뒤치락하다	업치락뛰치라카다
엎치락뒤치락경기	업치락뛰치락꼉기
엉두덜엉두덜하다	엉두더렁두덜하다
엉기적엉기적하다	엉기저겅기저카다
얼룩줄무늬밤나방	얼룩쭐무니밤나방
얼루룩얼루룩하다	얼루루걸루루카다
얼루룩덜루룩하다	얼루룩떨루루카다
억석에미화장사위	억써게미화장사위
어서석어서석하다	어서서거서서카다
어비역대통감집람	어비역때통감짐남
어물쩍어물쩍하다	어물쩌거물쩌카다
어름적어름적하다	어름저거름저카다
어루룩어루룩하다	어루루거루루카다
어루룩더루룩하다	어루룩떠루루카다
어기죽어기죽하다	어기주거기주카다
어기적어기적하다	어기저거기저카다
양배추가루진딧물	양배추가루진딘물
얄기죽얄기죽하다	얄기중냘기주카다
야은선생언행습유	야은선생언행스뷰
야스락야스락하다	야스랑냐스라카다
야기죽야기죽하다	야기중냐기주카다
애흰수염집게벌레	애힌수염집께벌레
애조롱박먼지벌레	애조롱방먼지벌레
애기족제비고사리	애기족쩨비고사리
호비작호비작하다	호비자코비자카다
호로록호로록하다	호로로코로로카다
호드득호드득하다	호드드코드드카다
헤벌쭉헤벌쭉하다	헤벌쭈케벌쭈카다
헐레벌떡헐레벌떡	헐레벌떠컬레벌떠
허우적허우적하다	허우저커우저카다
허비적허비적하다	허비저커비저카다
